category,city,gold_merchant,image_url,jumlah_review,jumlah_view,location,presentase_diskon,price,product_id,quantity_sold,rating,shop_name,subcategory,title,url
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/11/14/42845835/42845835_6850c3fe-053b-45e5-a490-ad7fd886e84f_700_700.jpg,31,471,Jakarta,0,168500,356913662,"61,",5,Navishaa Store,Midi Dress,Baju Busana Muslim Wanita Gamis Syari Pesta Hanna Anak Terbaru,https://www.tokopedia.com/navishaastore/baju-busana-muslim-wanita-gamis-syari-pesta-hanna-anak-terbaru?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D70_ob%3D23_q%3Dbaju+wanita_po%3D60_catid%3D1764
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/4/3/0/0_5b1b0716-152c-45e1-8008-d42be61e499c_1125_1122.jpg,6,470,Jakarta,0,51250,274395100,"8, ",4,LV.co Tanah abang,Setelan,baju setelan wanita almaya (tanpa hijab),https://www.tokopedia.com/lvco/baju-setelan-wanita-almaya-tanpa-hijab?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D53_ob%3D23_q%3Dbaju+wanita_po%3D12_catid%3D1767
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/11/3/43199139/43199139_3cb0c2a2-97e5-4d02-a3c4-8406d95a2440_1024_1024.jpg,31,469,Jakarta,0,75000,355927923,"93,",5,Sadewa EStore,Piyama,Piyama Satin Wanita Baju Tidur,https://www.tokopedia.com/sadewaestore/piyama-satin-wanita-baju-tidur?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D50_ob%3D23_q%3Dbaju+wanita_po%3D3_catid%3D1817
Fashion Wanita,Kota Bandung,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/9/1/566493/566493_36fcd35d-e2ea-47df-b174-fdc30e98e040.jpg,3,465,Kota Bandung,0,77000,325403916,"5, ",5,RJ-Fashion,Maxi Dress,Salona Polka Dress (AD) | Baju Gamis Wanita | | Maxi Dress,https://www.tokopedia.com/rj-fashion/salona-polka-dress-ad-baju-gamis-wanita-maxi-dress?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D34_ob%3D23_q%3Dbaju+wanita_po%3D43_catid%3D1765
Fashion Wanita,Kota Surabaya,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/11/13/927787/927787_8c06568d-5161-449e-b245-49227cee5dd2_800_719.jpg,2,464,Kota Surabaya,0,45000,360332152,"6, ",5,Paphika,Kaos,Kaos Wanita Jumbo Chanel Kaos Batwing Cupcake Baju Atasan Wanita,https://www.tokopedia.com/paphika/kaos-wanita-jumbo-chanel-kaos-batwing-cupcake-baju-atasan-wanita?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D17_ob%3D23_q%3Dbaju+wanita_po%3D39_catid%3D1769
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/8/13/36010084/36010084_d5aace60-cb07-43e5-96dc-0c1728a51350_980_980.jpg,17,461,Jakarta,0,40000,317924202,"19,",5,Fariza Mufita,Blouse,FASHION PAKAIAN WANITA BELLE FASHION BAJU ATASAN KAOS MURAH WANITA,https://www.tokopedia.com/farizamufita/fashion-pakaian-wanita-belle-fashion-baju-atasan-kaos-murah-wanita?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D54_ob%3D23_q%3Dbaju+wanita_po%3D22_catid%3D1771
Fashion Wanita,Kota Yogyakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/10/26/322331912/322331912_e9f6b503-1d94-407a-9715-0ea023e0c7c7_1024_1024.jpg,2,452,Kota Yogyakarta,0,195000,322331912,"3, ",5,Jenny OnlineShop,Blouse Batik,Atasan Baju Batik Blouse Wanita Lurik Maheswari,https://www.tokopedia.com/jennyonlineshop/atasan-baju-batik-blouse-wanita-lurik-maheswari?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D21_ob%3D23_q%3Dbaju+wanita_po%3D56_catid%3D1790
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/6/5/34432191/34432191_2c5fcdd3-6478-40b2-a6d9-e430c7359933_460_423.jpeg,1,450,Jakarta,0,75000,296593394,1,5,jolie costume,Lingerie,JXO4ODP Purpple Sexy lingerie Baju Tidur Wanita Bikini Seksi Ungu tua,https://www.tokopedia.com/joliecostume/jxo4odp-purpple-sexy-lingerie-baju-tidur-wanita-bikini-seksi-ungu-tua?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D82_ob%3D23_q%3Dbaju+wanita_po%3D47_catid%3D1821
Fashion Wanita,Jakarta,TRUE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/3/15/16887490/16887490_0580fa69-6f8c-4122-a90d-24c74b33ce17_400_534.jpg,5,450,Jakarta,0,79999,268500881,"8, ",5,OXPREY59,Kaos,NEW PROMO TSHIRT KAOS DISTRO COWOK CEWEK BAJU PRIA WANITA MURAH 1353,https://www.tokopedia.com/oxprey59/new-promo-tshirt-kaos-distro-cowok-cewek-baju-pria-wanita-murah-1353?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D67_ob%3D23_q%3Dbaju+wanita_po%3D5_catid%3D1769
Fashion Wanita,Jakarta,FALSE,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2018/11/19/4478525/4478525_8e421813-fc2d-4585-8ffd-6d104f342884_1024_1024,33,446,Jakarta,0,52200,363355061,330,5,ellips grosir store,Blouse,collar top salur baju atasan wanita terbaru atasan wanita muslim tunik,https://www.tokopedia.com/tumblr/collar-top-salur-baju-atasan-wanita-terbaru-atasan-wanita-muslim-tunik?trkid=f%3DCa1758L000P0W0S0Sh00Co0Po0Fr0Cb0_src%3Dsearch_page%3D8_ob%3D23_q%3Dbaju+wanita_po%3D11_catid%3D1771
